"Kategori","Part Name","Brand","Piece","Unit Price (TL)","Total Price (TL)","Unit Price (USD)","Total Price (USD)"
"Sensör","QTR-1A Kızılötesi Sensör Çifti (2 Adet) - PL-2458","Pololu","1","355.41","355.41","7.36","7.36"
"Kontrol Kartı","Arduino Tabanlı Nano Geliştirme Kartı (CH340)","Robotistan","1","244.20","244.20","5.06","5.06"
"Kontrol Kartı","Genesis Arduino Robot Kartı (Arduino NANO Dahil Değil)","Jsumo","1","1955.34","1955.34","40.48","40.48"
"Motor","6V 12mm 400 RPM Redüktörlü Mikro DC Motor","Robotistan","2","185.35","370.70","3.84","7.67"
"Tekerlek","SLT20 Silikon Tekerlek (33x21 mm) - 2 Adet","Jsumo","1","475.45","475.45","9.84","9.84"
"Güç/Koruma","2S 5A BMS Lityum Pil Koruma Devresi","Robotistan","1","44.01","44.01","0.91","0.91"
"Pil","INR18650A28 3.7V 2800 mAh Li-ion Şarjlı Pil - Kutup Başsız","Aspilsan","2","190.65","381.30","3.95","7.89"
"Pil Yuvası","18650 Pil için 2'li Pil Yuvası (18650-2) - Pil Yatağı","Power Master","1","23.07","23.07","0.48","0.48"
"Anahtar","IC-192B Çıt Çıt Anahtar","Robotistan","1","16.48","16.48","0.34","0.34"
"Bağlantı Elemanı","8 mm M3 Metal Dişi-Erkek Aralayıcı (Standoff-Spacer-Yükseltici)","Robotistan","4","9.41","37.64","0.19","0.78"
"Bağlantı Elemanı","M3 Somun","Robotistan","50","0.96","48.00","0.02","0.99"
"Bağlantı Elemanı","M3 6 mm YSB Yıldız Silindirik Baş Metrik Vida","Robotistan","25","0.82","20.50","0.02","0.42"
"Kablo","40 Pin Ayrılabilen Dişi-Dişi F-F Jumper Kablo - 100 mm","Robotistan","1","48.84","48.84","1.01","1.01"
"Sensör","45cm Menzilli Kızılötesi Sensör - MR45","Jsumo","3","2260.94","2260.94","46.81","46.81"
"Güç/Şarj","2S Şarj Modülü","","1","102.00","102.00","2.11","2.11"
"","","","","","","",""
"","","","Grand Total","","6383.88 TL","","132.17 USD"
