Category,Product Name,Brand,Quantity,Unit Price (TL),Total (TL),Unit Price (USD),Total (USD)
Sensor,QTR-1A Infrared Sensor Pair (2 Pcs) - PL-2458,Pololu,1,355.41,355.41,7.36,7.36
Control Board,Arduino-Based Nano Development Board (CH340),Robotistan,1,244.20,244.20,5.06,5.06
Control Board,Genesis Arduino Robot Board (Arduino NANO Not Included),Jsumo,1,1955.34,1955.34,40.48,40.48
Motor,6V 12mm 400 RPM Geared Micro DC Motor,Robotistan,2,185.35,370.70,3.84,7.67
Wheel,SLT20 Silicone Wheel (33x21 mm) - 2 Pcs,Jsumo,1,475.45,475.45,9.84,9.84
Power/Protection,2S 5A BMS Lithium Battery Protection Circuit,Robotistan,1,44.01,44.01,0.91,0.91
Battery,INR18650A28 3.7V 2800 mAh Li-ion Rechargeable Battery - Flat Top,Aspilsan,2,190.65,381.30,3.95,7.89
Battery Holder,2-Slot 18650 Battery Holder (18650-2),Power Master,1,23.07,23.07,0.48,0.48
Switch,IC-192B Snap-Action Switch,Robotistan,1,16.48,16.48,0.34,0.34
Fastener,8 mm M3 Female-Male Standoff/Spacer,Robotistan,4,9.41,37.64,0.19,0.78
Fastener,M3 Nut,Robotistan,50,0.96,48.00,0.02,0.99
Fastener,M3 6 mm Phillips Pan Head Machine Screw,Robotistan,25,0.82,20.50,0.02,0.42
Cable,40-Pin Female-Female Jumper Wire - 100 mm,Robotistan,1,48.84,48.84,1.01,1.01
Sensor,45cm Range Infrared Sensor - MR45,Jsumo,3,2260.94,2260.94,46.81,46.81
Power/Charging,2S Charging Module,,1,102.00,102.00,2.11,2.11
,,,,,,,
,,,GRAND TOTAL,,6383.88,,132.17
